Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
01/10/2016;0,11;;0,19;Muy buena / Oso ona;0,04;4;26;Muy buena / Oso ona;20;;13;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
30/09/2016;0,71;;0,41;Muy buena / Oso ona;1,1;;73;Buena / Ona;63;4,62;29;Buena / Ona;12;Muy buena / Oso ona;3,59;Buena / Ona
29/09/2016;0,32;;;Sin datos / Daturik gabe;0,72;;84;Buena / Ona;42;2,46;20;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Buena / Ona
28/09/2016;0,31;;0,23;Muy buena / Oso ona;0,19;8;73;Buena / Ona;35;;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1,25;Buena / Ona
27/09/2016;0,57;;;Sin datos / Daturik gabe;0,22;10;51;Buena / Ona;41;0,9;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1,75;Buena / Ona
26/09/2016;0,3;;0,24;Muy buena / Oso ona;0,39;10;43;Muy buena / Oso ona;41;1,61;19;Muy buena / Oso ona;6;Muy buena / Oso ona;1,11;Muy buena / Oso ona
25/09/2016;0,21;;0,31;Muy buena / Oso ona;0,06;;38;Muy buena / Oso ona;16;;19;Muy buena / Oso ona;6;Muy buena / Oso ona;0,45;Muy buena / Oso ona
24/09/2016;0,47;;0,31;Muy buena / Oso ona;0,48;8;92;Buena / Ona;47;1,81;22;Muy buena / Oso ona;9;Muy buena / Oso ona;1,99;Buena / Ona
23/09/2016;0,38;;0,29;Muy buena / Oso ona;0,31;8;68;Buena / Ona;42;;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1,3;Buena / Ona
22/09/2016;0,29;;0,23;Muy buena / Oso ona;0,17;;53;Buena / Ona;32;0,41;20;Muy buena / Oso ona;10;Muy buena / Oso ona;1,02;Buena / Ona
21/09/2016;0,39;;0,24;Muy buena / Oso ona;0,58;11;73;Buena / Ona;43;2,17;17;Muy buena / Oso ona;10;Muy buena / Oso ona;1,69;Buena / Ona
20/09/2016;0,2;;0,24;Muy buena / Oso ona;0,18;;42;Muy buena / Oso ona;28;0,59;11;Muy buena / Oso ona;7;Muy buena / Oso ona;0,9;Muy buena / Oso ona
19/09/2016;0,22;;0,28;Muy buena / Oso ona;0,24;17;51;Buena / Ona;46;0,81;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,98;Buena / Ona
18/09/2016;;;0,17;Muy buena / Oso ona;0,11;;35;Muy buena / Oso ona;15;;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
17/09/2016;;;;Sin datos / Daturik gabe;0,04;;24;Muy buena / Oso ona;13;;11;Muy buena / Oso ona;3;Muy buena / Oso ona;0,26;Muy buena / Oso ona
16/09/2016;;;;Sin datos / Daturik gabe;0,24;;47;Muy buena / Oso ona;17;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
15/09/2016;;;;Sin datos / Daturik gabe;0,05;;11;Muy buena / Oso ona;8;;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;Muy buena / Oso ona
14/09/2016;;;;Sin datos / Daturik gabe;0,16;;41;Muy buena / Oso ona;24;;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
13/09/2016;;;;Sin datos / Daturik gabe;0,05;;30;Muy buena / Oso ona;15;;19;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
12/09/2016;0,38;;0,35;Muy buena / Oso ona;0,38;;70;Buena / Ona;34;1,48;30;Buena / Ona;14;Muy buena / Oso ona;1,69;Buena / Ona
11/09/2016;0,2;;0,21;Muy buena / Oso ona;0,08;;31;Muy buena / Oso ona;21;;18;Muy buena / Oso ona;11;Muy buena / Oso ona;0,78;Muy buena / Oso ona
10/09/2016;0,38;;0,19;Muy buena / Oso ona;0,35;7;58;Buena / Ona;35;1,36;21;Muy buena / Oso ona;9;Muy buena / Oso ona;1,07;Buena / Ona
09/09/2016;0,18;;0,19;Muy buena / Oso ona;0,1;6;31;Muy buena / Oso ona;27;;19;Muy buena / Oso ona;7;Muy buena / Oso ona;0,72;Muy buena / Oso ona
08/09/2016;0,15;;0,22;Muy buena / Oso ona;0,05;5;36;Muy buena / Oso ona;24;;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,37;Muy buena / Oso ona
07/09/2016;0,56;;0,33;Muy buena / Oso ona;0,55;15;82;Buena / Ona;53;2,24;41;Buena / Ona;17;Buena / Ona;2,85;Buena / Ona
06/09/2016;0,41;;0,29;Muy buena / Oso ona;0,32;16;70;Buena / Ona;64;0,85;28;Buena / Ona;13;Muy buena / Oso ona;1,8;Buena / Ona
05/09/2016;0,69;;0,31;Muy buena / Oso ona;0,22;16;72;Buena / Ona;52;0,79;34;Buena / Ona;15;Muy buena / Oso ona;2,56;Buena / Ona
04/09/2016;0,35;;0,28;Muy buena / Oso ona;0,25;3;45;Muy buena / Oso ona;31;0,64;31;Buena / Ona;17;Buena / Ona;1,42;Buena / Ona
03/09/2016;0,19;;0,27;Muy buena / Oso ona;0,22;;38;Muy buena / Oso ona;27;0,51;23;Muy buena / Oso ona;12;Muy buena / Oso ona;0,94;Muy buena / Oso ona
02/09/2016;0,38;;0,3;Muy buena / Oso ona;0,21;;60;Buena / Ona;45;;27;Buena / Ona;12;Muy buena / Oso ona;1,64;Buena / Ona
01/09/2016;0,23;;0,26;Muy buena / Oso ona;0,18;;60;Buena / Ona;41;;20;Muy buena / Oso ona;10;Muy buena / Oso ona;1,16;Buena / Ona
31/08/2016;;;0,23;Muy buena / Oso ona;;;44;Muy buena / Oso ona;29;;18;Muy buena / Oso ona;10;Muy buena / Oso ona;;Muy buena / Oso ona
30/08/2016;;;;Sin datos / Daturik gabe;;;24;Muy buena / Oso ona;18;;14;Muy buena / Oso ona;8;Muy buena / Oso ona;;Muy buena / Oso ona
29/08/2016;;;0,16;Muy buena / Oso ona;0,04;;21;Muy buena / Oso ona;18;;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
28/08/2016;;;0,21;Muy buena / Oso ona;0,04;;17;Muy buena / Oso ona;11;;16;Muy buena / Oso ona;9;Muy buena / Oso ona;;Muy buena / Oso ona
27/08/2016;;;0,22;Muy buena / Oso ona;0,04;;45;Muy buena / Oso ona;21;;26;Buena / Ona;12;Muy buena / Oso ona;;Buena / Ona
26/08/2016;;;0,23;Muy buena / Oso ona;0,04;;38;Muy buena / Oso ona;23;;28;Buena / Ona;14;Muy buena / Oso ona;;Buena / Ona
25/08/2016;;;;Sin datos / Daturik gabe;0,04;7;63;Buena / Ona;33;;23;Muy buena / Oso ona;9;Muy buena / Oso ona;;Buena / Ona
24/08/2016;;;0,28;Muy buena / Oso ona;0,95;;74;Buena / Ona;28;;26;Buena / Ona;13;Muy buena / Oso ona;;Buena / Ona
23/08/2016;;;0,25;Muy buena / Oso ona;0,34;7;63;Buena / Ona;33;;25;Muy buena / Oso ona;11;Muy buena / Oso ona;;Buena / Ona
22/08/2016;;;0,23;Muy buena / Oso ona;0,62;10;60;Buena / Ona;43;2,1;17;Muy buena / Oso ona;7;Muy buena / Oso ona;1,6;Buena / Ona
21/08/2016;;;0,17;Muy buena / Oso ona;0,08;4;29;Muy buena / Oso ona;21;;16;Muy buena / Oso ona;5;Muy buena / Oso ona;0,57;Muy buena / Oso ona
20/08/2016;;;0,18;Muy buena / Oso ona;0,05;;22;Muy buena / Oso ona;15;;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
19/08/2016;0,22;;0,21;Muy buena / Oso ona;0,23;10;36;Muy buena / Oso ona;31;;18;Muy buena / Oso ona;9;Muy buena / Oso ona;1,18;Muy buena / Oso ona
18/08/2016;;;0,22;Muy buena / Oso ona;0,04;;24;Muy buena / Oso ona;19;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
17/08/2016;;;;Sin datos / Daturik gabe;0,16;;;Sin datos / Daturik gabe;16;;27;Buena / Ona;16;Muy buena / Oso ona;0,61;Buena / Ona
16/08/2016;0,28;;0,25;Muy buena / Oso ona;0,88;3;51;Buena / Ona;25;;26;Buena / Ona;12;Muy buena / Oso ona;4,28;Buena / Ona
15/08/2016;0,23;;0,23;Muy buena / Oso ona;0,22;;37;Muy buena / Oso ona;18;;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1,95;Muy buena / Oso ona
14/08/2016;0,31;;0,26;Muy buena / Oso ona;0,9;;32;Muy buena / Oso ona;18;3,67;20;Muy buena / Oso ona;10;Muy buena / Oso ona;3,37;Muy buena / Oso ona
13/08/2016;0,44;;0,26;Muy buena / Oso ona;0,75;3;48;Muy buena / Oso ona;27;;24;Muy buena / Oso ona;12;Muy buena / Oso ona;3,52;Muy buena / Oso ona
12/08/2016;0,33;;0,21;Muy buena / Oso ona;0,49;;48;Muy buena / Oso ona;36;1,33;16;Muy buena / Oso ona;8;Muy buena / Oso ona;2,11;Muy buena / Oso ona
11/08/2016;;;0,17;Muy buena / Oso ona;0,09;;24;Muy buena / Oso ona;16;;16;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
10/08/2016;;;;Sin datos / Daturik gabe;0,1;;22;Muy buena / Oso ona;16;;22;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
09/08/2016;0,06;;0,18;Muy buena / Oso ona;0,06;;17;Muy buena / Oso ona;14;;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
08/08/2016;0,06;;;Sin datos / Daturik gabe;0,06;3;31;Muy buena / Oso ona;17;;13;Muy buena / Oso ona;7;Muy buena / Oso ona;;Muy buena / Oso ona
07/08/2016;;;0,18;Muy buena / Oso ona;0,06;;17;Muy buena / Oso ona;12;;11;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
06/08/2016;;;0,14;Muy buena / Oso ona;0,12;;22;Muy buena / Oso ona;16;;9;Muy buena / Oso ona;4;Muy buena / Oso ona;0,73;Muy buena / Oso ona
05/08/2016;;;0,18;Muy buena / Oso ona;0,14;;26;Muy buena / Oso ona;14;;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
04/08/2016;0,12;;;Sin datos / Daturik gabe;0,22;;30;Muy buena / Oso ona;21;;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1,05;Muy buena / Oso ona
03/08/2016;0,26;;;Sin datos / Daturik gabe;0,41;10;41;Muy buena / Oso ona;33;1;17;Muy buena / Oso ona;8;Muy buena / Oso ona;1,82;Muy buena / Oso ona
02/08/2016;0,1;;;Sin datos / Daturik gabe;0,21;;43;Muy buena / Oso ona;33;;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1,17;Muy buena / Oso ona
01/08/2016;0,05;;;Sin datos / Daturik gabe;0,12;;22;Muy buena / Oso ona;18;;16;Muy buena / Oso ona;7;Muy buena / Oso ona;0,57;Muy buena / Oso ona
31/07/2016;0,04;;;Sin datos / Daturik gabe;0,05;;11;Muy buena / Oso ona;10;;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;Muy buena / Oso ona
30/07/2016;0,04;;0,22;Muy buena / Oso ona;0,09;3;18;Muy buena / Oso ona;15;;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
29/07/2016;0,2;;0,2;Muy buena / Oso ona;0,17;;35;Muy buena / Oso ona;31;;16;Muy buena / Oso ona;10;Muy buena / Oso ona;1,38;Muy buena / Oso ona
28/07/2016;0,06;;;Sin datos / Daturik gabe;0,07;;22;Muy buena / Oso ona;20;;11;Muy buena / Oso ona;7;Muy buena / Oso ona;0,47;Muy buena / Oso ona
27/07/2016;0,06;;0,18;Muy buena / Oso ona;0,06;4;26;Muy buena / Oso ona;19;;12;Muy buena / Oso ona;6;Muy buena / Oso ona;0,42;Muy buena / Oso ona
26/07/2016;0,06;;0,2;Muy buena / Oso ona;0,1;5;23;Muy buena / Oso ona;17;;9;Muy buena / Oso ona;5;Muy buena / Oso ona;0,34;Muy buena / Oso ona
25/07/2016;;;0,17;Muy buena / Oso ona;0,05;;20;Muy buena / Oso ona;15;;10;Muy buena / Oso ona;7;Muy buena / Oso ona;;Muy buena / Oso ona
24/07/2016;;;;Sin datos / Daturik gabe;0,05;;22;Muy buena / Oso ona;14;;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
23/07/2016;;;0,15;Muy buena / Oso ona;0,04;;16;Muy buena / Oso ona;13;;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
22/07/2016;;;0,16;Muy buena / Oso ona;0,06;4;21;Muy buena / Oso ona;19;;12;Muy buena / Oso ona;7;Muy buena / Oso ona;0,37;Muy buena / Oso ona
21/07/2016;;;0,18;Muy buena / Oso ona;0,06;4;30;Muy buena / Oso ona;20;;20;Muy buena / Oso ona;10;Muy buena / Oso ona;0,4;Muy buena / Oso ona
20/07/2016;;;0,25;Muy buena / Oso ona;0,11;;25;Muy buena / Oso ona;20;;31;Buena / Ona;17;Buena / Ona;0,51;Buena / Ona
19/07/2016;0,06;;0,21;Muy buena / Oso ona;0,07;;27;Muy buena / Oso ona;18;;26;Buena / Ona;11;Muy buena / Oso ona;0,7;Buena / Ona
18/07/2016;0,22;;0,28;Muy buena / Oso ona;0,54;3;62;Buena / Ona;30;2,21;27;Buena / Ona;11;Muy buena / Oso ona;1,75;Buena / Ona
17/07/2016;;;0,24;Muy buena / Oso ona;0,26;3;44;Muy buena / Oso ona;27;;21;Muy buena / Oso ona;9;Muy buena / Oso ona;1,33;Muy buena / Oso ona
16/07/2016;;;0,19;Muy buena / Oso ona;0,23;;40;Muy buena / Oso ona;26;;14;Muy buena / Oso ona;7;Muy buena / Oso ona;0,77;Muy buena / Oso ona
15/07/2016;;;;Sin datos / Daturik gabe;0,19;7;32;Muy buena / Oso ona;29;;15;Muy buena / Oso ona;6;Muy buena / Oso ona;0,75;Muy buena / Oso ona
14/07/2016;;;;Sin datos / Daturik gabe;0,27;;28;Muy buena / Oso ona;22;;15;Muy buena / Oso ona;5;Muy buena / Oso ona;0,47;Muy buena / Oso ona
13/07/2016;;;;Sin datos / Daturik gabe;0,05;;21;Muy buena / Oso ona;15;;14;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
12/07/2016;0,05;;0,18;Muy buena / Oso ona;0,05;5;26;Muy buena / Oso ona;21;;13;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
11/07/2016;;;0,19;Muy buena / Oso ona;0,04;5;20;Muy buena / Oso ona;19;;9;Muy buena / Oso ona;4;Muy buena / Oso ona;0,34;Muy buena / Oso ona
10/07/2016;;;0,24;Muy buena / Oso ona;0,04;5;39;Muy buena / Oso ona;22;;25;Muy buena / Oso ona;13;Muy buena / Oso ona;0,54;Muy buena / Oso ona
09/07/2016;;;0,23;Muy buena / Oso ona;0,11;;37;Muy buena / Oso ona;24;;18;Muy buena / Oso ona;11;Muy buena / Oso ona;0,82;Muy buena / Oso ona
08/07/2016;;;0,23;Muy buena / Oso ona;0,06;4;21;Muy buena / Oso ona;20;;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;0,5;Muy buena / Oso ona
07/07/2016;;;0,24;Muy buena / Oso ona;0,05;5;44;Muy buena / Oso ona;26;;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;;Muy buena / Oso ona
06/07/2016;;;0,23;Muy buena / Oso ona;0,06;6;18;Muy buena / Oso ona;20;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;0,46;Muy buena / Oso ona
05/07/2016;;;;Sin datos / Daturik gabe;0,06;;22;Muy buena / Oso ona;22;;14;Muy buena / Oso ona;3;Muy buena / Oso ona;0,42;Muy buena / Oso ona
04/07/2016;0,07;;0,19;Muy buena / Oso ona;0,06;;24;Muy buena / Oso ona;20;;15;Muy buena / Oso ona;8;Muy buena / Oso ona;0,43;Muy buena / Oso ona
03/07/2016;;;0,16;Muy buena / Oso ona;0,09;;23;Muy buena / Oso ona;18;;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0,54;Muy buena / Oso ona
02/07/2016;0,04;;0,17;Muy buena / Oso ona;0,05;3;21;Muy buena / Oso ona;14;;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
01/07/2016;;;0,2;Muy buena / Oso ona;0,06;6;37;Muy buena / Oso ona;25;;18;Muy buena / Oso ona;11;Muy buena / Oso ona;0,5;Muy buena / Oso ona
30/06/2016;;;0,24;Muy buena / Oso ona;0,24;12;43;Muy buena / Oso ona;35;;22;Muy buena / Oso ona;10;Muy buena / Oso ona;0,98;Muy buena / Oso ona
29/06/2016;;;0,19;Muy buena / Oso ona;0,96;;25;Muy buena / Oso ona;24;;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1,38;Muy buena / Oso ona
28/06/2016;;;0,22;Muy buena / Oso ona;0,12;;38;Muy buena / Oso ona;37;;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,34;Muy buena / Oso ona
27/06/2016;;;0,19;Muy buena / Oso ona;0,06;;26;Muy buena / Oso ona;20;;12;Muy buena / Oso ona;6;Muy buena / Oso ona;0,35;Muy buena / Oso ona
26/06/2016;;;0,15;Muy buena / Oso ona;0,05;3;24;Muy buena / Oso ona;14;;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
25/06/2016;;;0,15;Muy buena / Oso ona;0,05;4;21;Muy buena / Oso ona;15;;9;Muy buena / Oso ona;5;Muy buena / Oso ona;0,32;Muy buena / Oso ona
24/06/2016;;;0,23;Muy buena / Oso ona;0,04;3;21;Muy buena / Oso ona;19;;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,49;Muy buena / Oso ona
23/06/2016;;;0,23;Muy buena / Oso ona;0,23;5;50;Muy buena / Oso ona;24;;22;Muy buena / Oso ona;10;Muy buena / Oso ona;0,71;Muy buena / Oso ona
22/06/2016;;;;Sin datos / Daturik gabe;0,76;;65;Buena / Ona;29;3,15;21;Muy buena / Oso ona;8;Muy buena / Oso ona;1,65;Buena / Ona
21/06/2016;;;0,32;Muy buena / Oso ona;0,64;18;57;Buena / Ona;55;2,42;22;Muy buena / Oso ona;10;Muy buena / Oso ona;2,72;Buena / Ona
20/06/2016;;;0,25;Muy buena / Oso ona;0,4;18;41;Muy buena / Oso ona;49;1,28;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3,1;Muy buena / Oso ona
19/06/2016;;;0,17;Muy buena / Oso ona;0,05;;17;Muy buena / Oso ona;14;;7;Muy buena / Oso ona;5;Muy buena / Oso ona;0,36;Muy buena / Oso ona
18/06/2016;;;;Sin datos / Daturik gabe;0,21;;20;Muy buena / Oso ona;15;;10;Muy buena / Oso ona;5;Muy buena / Oso ona;0,58;Muy buena / Oso ona
17/06/2016;;;0,18;Muy buena / Oso ona;0,2;;35;Muy buena / Oso ona;24;;12;Muy buena / Oso ona;5;Muy buena / Oso ona;0,75;Muy buena / Oso ona
16/06/2016;;;0,13;Muy buena / Oso ona;0,21;;29;Muy buena / Oso ona;16;;9;Muy buena / Oso ona;5;Muy buena / Oso ona;0,84;Muy buena / Oso ona
15/06/2016;;;0,19;Muy buena / Oso ona;0,2;;31;Muy buena / Oso ona;18;;8;Muy buena / Oso ona;4;Muy buena / Oso ona;0,53;Muy buena / Oso ona
14/06/2016;;;0,21;Muy buena / Oso ona;0,11;;30;Muy buena / Oso ona;16;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
13/06/2016;;;0,18;Muy buena / Oso ona;0,17;;32;Muy buena / Oso ona;18;;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
12/06/2016;0,09;;0,2;Muy buena / Oso ona;0,17;3;34;Muy buena / Oso ona;21;0,39;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,85;Muy buena / Oso ona
11/06/2016;0,06;;;Sin datos / Daturik gabe;0,1;4;25;Muy buena / Oso ona;23;0,24;16;Muy buena / Oso ona;7;Muy buena / Oso ona;0,47;Muy buena / Oso ona
10/06/2016;0,11;;0,21;Muy buena / Oso ona;0,05;4;35;Muy buena / Oso ona;27;0,08;21;Muy buena / Oso ona;12;Muy buena / Oso ona;0,51;Muy buena / Oso ona
09/06/2016;0,23;;;Sin datos / Daturik gabe;0,35;5;51;Buena / Ona;32;1,18;26;Buena / Ona;14;Muy buena / Oso ona;1,38;Buena / Ona
08/06/2016;0,36;;0,29;Muy buena / Oso ona;0,26;14;77;Buena / Ona;53;0,58;24;Muy buena / Oso ona;13;Muy buena / Oso ona;1,65;Buena / Ona
07/06/2016;0,31;;0,29;Muy buena / Oso ona;0,22;11;57;Buena / Ona;44;0,42;25;Muy buena / Oso ona;12;Muy buena / Oso ona;1,67;Buena / Ona
06/06/2016;0,11;;0,26;Muy buena / Oso ona;0,29;3;25;Muy buena / Oso ona;22;0,73;21;Muy buena / Oso ona;12;Muy buena / Oso ona;0,86;Muy buena / Oso ona
05/06/2016;0,06;;0,23;Muy buena / Oso ona;0,06;2;35;Muy buena / Oso ona;17;0,02;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,33;Muy buena / Oso ona
04/06/2016;0,06;;0,28;Muy buena / Oso ona;0,04;2;25;Muy buena / Oso ona;18;0,01;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,2;Muy buena / Oso ona
03/06/2016;0,18;;0,28;Muy buena / Oso ona;0,39;4;41;Muy buena / Oso ona;32;1,02;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,93;Muy buena / Oso ona
02/06/2016;0,23;;0,23;Muy buena / Oso ona;0,19;9;75;Buena / Ona;43;0,48;56;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;1,15;Mejorable / Hobetzeko modukoa
01/06/2016;0,19;;0,2;Muy buena / Oso ona;0,22;5;55;Buena / Ona;30;0,63;18;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Buena / Ona
31/05/2016;0,02;;0,15;Muy buena / Oso ona;0,05;1;29;Muy buena / Oso ona;14;0,02;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,26;Muy buena / Oso ona
30/05/2016;0,06;;0,13;Muy buena / Oso ona;0,13;3;32;Muy buena / Oso ona;21;0,31;12;Muy buena / Oso ona;5;Muy buena / Oso ona;0,64;Muy buena / Oso ona
29/05/2016;0,01;;0,13;Muy buena / Oso ona;0,05;1;24;Muy buena / Oso ona;12;0,02;8;Muy buena / Oso ona;2;Muy buena / Oso ona;0,32;Muy buena / Oso ona
28/05/2016;0,04;;0,2;Muy buena / Oso ona;0,08;1;25;Muy buena / Oso ona;10;0,17;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,5;Muy buena / Oso ona
27/05/2016;0,07;;0,18;Muy buena / Oso ona;0,18;1;33;Muy buena / Oso ona;17;0,5;17;Muy buena / Oso ona;8;Muy buena / Oso ona;0,6;Muy buena / Oso ona
26/05/2016;0,11;;0,17;Muy buena / Oso ona;0,09;3;43;Muy buena / Oso ona;20;0,25;16;Muy buena / Oso ona;7;Muy buena / Oso ona;0,53;Muy buena / Oso ona
25/05/2016;0,22;;0,25;Muy buena / Oso ona;0,13;7;47;Muy buena / Oso ona;28;0,2;14;Muy buena / Oso ona;6;Muy buena / Oso ona;0,99;Muy buena / Oso ona
24/05/2016;0,2;;0,22;Muy buena / Oso ona;0,32;6;44;Muy buena / Oso ona;33;1;17;Muy buena / Oso ona;7;Muy buena / Oso ona;0,98;Muy buena / Oso ona
23/05/2016;;;0,17;Muy buena / Oso ona;0,2;10;48;Muy buena / Oso ona;36;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;0,68;Muy buena / Oso ona
22/05/2016;;;;Sin datos / Daturik gabe;0,14;;17;Muy buena / Oso ona;14;;12;Muy buena / Oso ona;6;Muy buena / Oso ona;0,37;Muy buena / Oso ona
21/05/2016;;;0,24;Muy buena / Oso ona;0,23;3;45;Muy buena / Oso ona;26;;21;Muy buena / Oso ona;10;Muy buena / Oso ona;1,14;Muy buena / Oso ona
20/05/2016;;;0,23;Muy buena / Oso ona;0,09;8;55;Buena / Ona;38;;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1,11;Buena / Ona
19/05/2016;;;;Sin datos / Daturik gabe;0,15;;34;Muy buena / Oso ona;20;;11;Muy buena / Oso ona;5;Muy buena / Oso ona;0,55;Muy buena / Oso ona
18/05/2016;;;0,2;Muy buena / Oso ona;0,22;;46;Muy buena / Oso ona;33;;21;Muy buena / Oso ona;15;Muy buena / Oso ona;0,68;Muy buena / Oso ona
